Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Culinary Junction By Udupi,"North Indian, South Indian, Continental, Beverages",4.2,₹800 for two,4.3,"Tajganj, Agra","Variety of Beer, Peaceful Ambience, Memorable Experience"
The Bar - Trident Hotel,Finger Food,3.9,"₹2,000 for two",4.3,"Trident Hotel, Tajganj, Agra","Creative Cuisine, Peaceful Ambience, Flavorful Creations"
Meet N Eat,"Fast Food, Chinese, Beverages",3.8,₹400 for two,5.8,"Dayal Bagh, Agra","Quantity, Live Sports Screening, Attentive Service"
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",3.3,₹400 for two,5.5,"Lohamandi, Agra","Trendy Setting, Cozy Ambiance, Good Music"
Lights Out - Lounge & Roofpark,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian",4.1,"₹1,400 for two",2.5,"Civil Lines, Agra","Good Music, Quantity, Clean Environment"
Badlav Chai Point,"Fast Food, Beverages, Tea, Coffee, Burger, Shake, Sandwich",3.7,₹300 for two,2.6,"Civil Lines, Agra","Trendy Setting, Efficient Service, Warm Atmosphere"
Bhagya Ratan Food Circle,"North Indian, South Indian, Street Food, Chinese",3.5,₹400 for two,7.2,"Sikandra, Agra","Customizable Dishes, Local Sourcing, Weekend Brunch"
Badlav Chai Point,"Tea, Coffee, Shake, Beverages, Pizza, Sandwich, Fast Food, Street Food",3.5,₹300 for two,4.3,"Gopal Pura, Agra","Staff, Sophisticated, Clean Environment"
Pushpak Misthan Bhandar Sweets And Snack,Mithai,-,₹300 for two,1.6,"Civil Lines, Agra","Flavorful Creations, Comfortable Seating, Quantity"
Jenith Fast Food,"North Indian, South Indian, Continental",3.0,₹300 for two,0.6,"Mantola, Agra","Warm Atmosphere, Weekend Brunch, Diverse Menu"
Gupta Ji Dhaba & Veg Briyani,North Indian,3.8,₹500 for two,7.2,"Sikandra, Agra","Cozy Ambiance, Main Course, Sophisticated"
Hangout - The Lounge Bar,"Finger Food, Chinese, North Indian, Oriental, Continental, Desserts, Beverages",3.9,"₹1,500 for two",5.6,"Lohamandi, Agra","Well-priced Options, Peaceful Ambience, Efficient Service"
Tiwari Bombay Style Bhel And Panipuri,Street Food,3.8,₹100 for two,2.5,"Agra Cantt, Agra","Vintage Decor, Diverse Menu, Cozy Ambiance"
Silver Spoon,"North Indian, Chinese, Continental, Pizza",4.4,₹950 for two,4.0,"Tajganj, Agra","Brewed Beer, Variety of Beer, Breakfast"
Laziz Family Restaurant,North Indian,3.1,₹500 for two,1.9,"Mantola, Agra","Brewed Beer, Memorable Experience, Hospitable Staff"
Khan Sahab Restaurant,"North Indian, Mughlai, Chinese, Biryani, Beverages",3.5,₹600 for two,2.5,"Tajganj, Agra","Extensive Mocktail Menu, Quantity, Sophisticated"
Dandigul Food Circle,"Biryani, South Indian, Chinese, Street Food",4.0,₹200 for two,4.6,"Khandari, Agra","Perfect Place, Inviting Decor, Weekend Brunch"
Bansal Sweets,Mithai,3.9,₹250 for two,3.2,"Shahganj, Agra","Cafe, Friendly Staff, Staff"
SUMAC - Hotel Royale Regent,"North Indian, Continental, Fast Food, Oriental, Desserts, Beverages",3.9,"₹1,400 for two",5.4,"Tajganj, Agra","Breakfast, Authentic Flavors, Hospitality"
Chacha Ji Ka Dhaba,"North Indian, Mughlai",3.9,₹500 for two,2.8,"Lohamandi, Agra","Customizable Dishes, Quantity, Memorable Experience"
Bamboo Cafe,"North Indian, Chinese, Street Food, Sandwich, Fast Food",3.0,₹500 for two,3.8,"Tajganj, Agra","Sustainable Practices, Young Crowd, Efficient Service"
Chennai Kings,"South Indian, Sandwich, Fast Food, Beverages, Desserts, Burger, Chinese",3.9,₹500 for two,4.1,"Dayal Bagh, Agra","Courteous Staff, Ambience, Impeccable Presentation"
Pandit Bhojnalaya,"North Indian, South Indian, Chinese",3.8,₹350 for two,5.2,"Khandari, Agra","Consistent Quality, Creative Cuisine, Trendy Setting"
Cafe Hideout,"North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta",-,₹600 for two,5.7,"Sikandra, Agra","Fresh Ingredients, Memorable Experience, Good Bartenders"
Winni Cakes And More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle",3.9,₹500 for two,7.5,"Sikandra, Agra","Cozy Ambiance, Good Music, Satisfying Portions"
Rolls Cavalry,"Fast Food, Rolls, Chinese, North Indian, Momos, Shake, Sichuan",4.5,₹200 for two,3.9,"Lohamandi, Agra","Memorable Experience, Staff, Sophisticated"
Pandit Ji Bhojhnalaya,North Indian,3.3,₹300 for two,11.0,"Sikandra, Agra","Good Music, Staff, Diverse Menu"
Desire Bakers,"Bakery, Desserts",4.0,₹300 for two,3.2,"Kamla Nagar, Agra","Fresh Ingredients, Customizable Dishes, Great Service"
Anna Samrat Restaurant,"South Indian, North Indian, Chinese, Ice Cream, Beverages",3.9,₹600 for two,3.8,"Kamla Nagar, Agra","Hospitable Staff, Comfortable Seating, Cafe"
New Pushpak Misthan Bhandar,"Mithai, Street Food",3.7,₹400 for two,1.2,"Rakabganj, Agra","Exquisite Taste, Good Music, Brewed Beer"
Brijwasi Sweet House,"Mithai, Desserts",3.7,₹400 for two,5.9,"Dayal Bagh, Agra","Courteous Staff, Flavorful Creations, Customizable Dishes"
Jain Bhojnalaya,North Indian,3.8,₹200 for two,5.2,"Khandari, Agra","Good Music, Satisfying Portions, Efficient Service"
Healthmafia,"North Indian, Fast Food, South Indian, Momos, Biryani",4.1,₹450 for two,3.9,"Trans Yamuna, Agra","Satisfying Portions, Exquisite Taste, Warm Atmosphere"
Deshraj Dhaba,"Mughlai, Biryani",3.9,₹400 for two,0.954,"Civil Lines, Agra","Weekend Brunch, Clean Environment, Vintage Decor"
Square 99 Scoops & Cafe,"Chinese, North Indian, Fast Food",3.9,₹300 for two,4.5,"Shahganj, Agra","Good Music, Innovative Dishes, Live Sports Screening"
Apna Cafe,"Fast Food, Pizza, Street Food, Chinese, Desserts, Shake, Coffee, Beverages",3.4,₹400 for two,2.6,"Tajganj, Agra","Attentive Service, Great Service, Variety of Beer"
"Daawat-E-Nawab - Taj Hotel & Convention Centre, Tajganj","North Indian, Mughlai, Kebab, Biryani",4.3,"₹2,800 for two",4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Sophisticated, Inviting Decor, Sustainable Practices"
Pandit Ji Shudh Shakahari Bhojnalaya,North Indian,3.7,₹400 for two,4.6,"Dayal Bagh, Agra","Comfortable Seating, Creative Cuisine, Fresh Ingredients"
Shri Krishna Bhojanalaya,North Indian,3.3,₹400 for two,2.7,"Civil Lines, Agra","Authentic Flavors, Warm Atmosphere, Courteous Staff"
Royal Rolls,"Rolls, Fast Food, Beverages, Pizza, Burger",3.7,₹350 for two,4.4,"Tajganj, Agra","Variety of Beer, Great for Dates, Impeccable Presentation"
Hungernomia,"Burger, Fast Food, Pizza, Sandwich, Wraps, Beverages, Italian",3.9,₹500 for two,2.5,"Civil Lines, Agra","Seasonal Menu, Inviting Decor, Attentive Service"
Sri Dauji Restaurant,"Mithai, Street Food",3.6,₹300 for two,3.9,"Kamla Nagar, Agra","Great Service, Efficient Service, Customizable Dishes"
Agarwal Sweets & Dairy,"Mithai, Street Food",3.8,₹250 for two,6.0,"Shahganj, Agra","Great for Dates, Sustainable Practices, Comfortable Seating"
Munna Dhaba,North Indian,3.6,₹500 for two,3.9,"Arjun Nagar, Agra","Inviting Decor, Fresh Ingredients, Flavorful Creations"
Spice Aroma,"North Indian, Fast Food, Beverages",3.5,₹300 for two,4.3,"Arjun Nagar, Agra","Brewed Beer, Great for Dates, Seasonal Menu"
Chatorelal Food Court,"South Indian, Chinese, Fast Food, Street Food, North Indian, Momos",2.7,₹250 for two,4.0,"Agra Cantt, Agra","Main Course, Great Service, Weekend Brunch"
Momo Cartel,"Momos, Chinese, Shake",3.8,₹350 for two,5.8,"Sikandra, Agra","Clean Environment, Ambiance, Great Service"
Shiva Bhojnalaya,North Indian,2.7,₹300 for two,5.2,"Khandari, Agra","Breakfast, Comfortable Seating, Efficient Service"
Jawahar Hotel,North Indian,3.8,₹300 for two,3.8,"Dayal Bagh, Agra","Young Crowd, Weekend Brunch, Variety of Beer"
What The Frozen,"Italian, Continental, Pasta, Healthy Food, Shake, Burger, Sandwich, Wraps",3.8,₹350 for two,3.7,"Khandari, Agra","Memorable Experience, Sophisticated, Sustainable Practices"
New Vishal Dhaba,"Momos, Chinese, Street Food, South Indian, North Indian",3.9,₹450 for two,3.7,"Khandari, Agra","Authentic Flavors, Comfortable Seating, Perfect Place"
Vada Pav King,"Fast Food, Street Food, Beverages",3.7,₹350 for two,4.1,"Shahganj, Agra","Sophisticated, Vintage Decor, Clean Environment"
Shiva Dhaba,"North Indian, Mughlai",3.8,₹500 for two,2.0,"Civil Lines, Agra","Brewed Beer, Efficient Service, Live Sports Screening"
Dear Shoppy,"Fast Food, Sichuan",4.1,₹200 for two,4.6,"Khandari, Agra","Variety of Beer, Main Course, Authentic Flavors"
Baba Chicken Mutton,"Mughlai, North Indian",4.0,₹500 for two,6.8,"Sikandra, Agra","Creative Cuisine, Great Service, Efficient Service"
Shyam Ji Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages",3.9,₹500 for two,3.8,"Arjun Nagar, Agra","Sophisticated, Delicious Food, Exquisite Taste"
Taste Of Tongue,"North Indian, Fast Food, Chinese, Street Food, Beverages",4.3,₹200 for two,5.5,"Dayal Bagh, Agra","Warm Atmosphere, Comfortable Seating, Local Sourcing"
Shivam Restaurant,"Fast Food, North Indian, Chinese, Desserts",3.3,₹350 for two,3.8,"Agra Cantt, Agra","Good Music, Peaceful Ambience, Exquisite Taste"
"Tea Lounge - Taj Hotel & Convention Centre, Tajganj","Cafe, Pizza, Beverages",3.4,"₹1,100 for two",4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Sustainable Practices, Inviting Decor, Delicious Food"
Dhaba 59,"North Indian, Chinese, Fast Food, Beverages",3.5,₹500 for two,5.0,"Tajganj, Agra","Satisfying Portions, Attentive Service, Local Sourcing"
Kerala Coast Thattukada,"Kerala, South Indian, Chinese, Biryani, Beverages",3.3,₹400 for two,2.3,"Agra Cantt, Agra","Inviting Decor, Main Course, Breakfast"
Zorko,"Pasta, Burger, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages",-,₹300 for two,4.0,"Tajganj, Agra","Main Course, Peaceful Ambience, Cozy Ambiance"
Selfie Restaurant,North Indian,3.7,₹300 for two,5.6,"Lohamandi, Agra","Vintage Decor, Attentive Service, Efficient Service"
Moti Palace Restaurant And Bar,"North Indian, Chinese",3.8,"₹1,000 for two",1.4,"Rakabganj, Agra","Comfortable Seating, Weekend Brunch, Cafe"
Hashim Restaurant,North Indian,3.5,₹400 for two,4.8,"Shahganj, Agra","Good Bartenders, Brewed Beer, Hospitable Staff"
Moon Bar & Restaurant,"North Indian, Street Food, South Indian",3.9,"₹1,400 for two",6.7,"Sikandra, Agra","Comfortable Seating, Sophisticated, Seasonal Menu"
Formula Rossa,"South Indian, Rolls",-,₹300 for two,2.2,"Agra Cantt, Agra","Extensive Mocktail Menu, Hospitable Staff, Peaceful Ambience"
Chota Mama Chicken Mama Veg,"North Indian, Chinese, Rolls, Mughlai, Momos, Beverages",3.0,₹550 for two,4.1,"Shahganj, Agra","Attentive Service, Innovative Dishes, Trendy Setting"
Dharamraj Yadav Bhojnalya,North Indian,3.9,₹200 for two,2.8,"Civil Lines, Agra","Satisfying Portions, Seasonal Menu, Great for Dates"
Dalchini Homemade Meals,"North Indian, Seafood, Biryani, Street Food",3.9,₹500 for two,6.3,"Dayal Bagh, Agra","Fresh Ingredients, Ambience, Good Music"
Punjabi Hut,"North Indian, Biryani, Mughlai",3.7,₹500 for two,3.3,"Shahganj, Agra","Breakfast, Inviting Decor, Authentic Flavors"
Raj Restaurant,North Indian,3.9,₹250 for two,2.8,"Arjun Nagar, Agra","Attentive Service, Efficient Service, Flavorful Creations"
Cheesy Bees,"Fast Food, Chinese, Italian, Pizza, Burger, Sandwich, Beverages",3.0,₹300 for two,4.6,"Khandari, Agra","Vintage Decor, Good Bartenders, Extensive Mocktail Menu"
Diamond Restaurant And Bar,"North Indian, Mughlai, Rolls, Finger Food",3.9,₹800 for two,2.7,"Civil Lines, Agra","Delicious Food, Clean Environment, Ambience"
Cafe Choco Craze,"Cafe, Shake, Beverages, Pizza, Momos, Fast Food, Waffle, Desserts",3.9,₹650 for two,5.9,"Shahganj, Agra","Customizable Dishes, Sustainable Practices, Ambiance"
Mor Mukut Mithai Wale,Mithai,3.6,₹250 for two,1.4,"Mantola, Agra","Cafe, Impeccable Presentation, Friendly Staff"
Jeetu Dhaba,"North Indian, Mughlai",3.6,₹500 for two,3.2,"Kamla Nagar, Agra","Diverse Menu, Local Sourcing, Clean Environment"
Haji Salim Sweet House,"Mithai, Desserts",3.9,₹400 for two,1.7,"Mantola, Agra","Good Music, Exquisite Taste, Creative Cuisine"
Hotel Anjuman,"North Indian, Chinese, Street Food, Fast Food, Seafood, Biryani, Mughlai, Beverages",3.8,₹600 for two,3.2,"Kamla Nagar, Agra","Cafe, Perfect Place, Hospitality"
D Delite Vegetarian Restaurant,"North Indian, Chinese, South Indian, Fast Food",3.9,₹600 for two,2.8,"Civil Lines, Agra","Satisfying Portions, Efficient Service, Diverse Menu"
Beeryanee,"North Indian, Mughlai",4.2,₹500 for two,3.6,"Khandari, Agra","Consistent Quality, Local Sourcing, Fresh Ingredients"
Khanaa Khazanaa,"North Indian, Continental, Fast Food",4.0,₹400 for two,5.8,"Dayal Bagh, Agra","Innovative Dishes, Sophisticated, Live Sports Screening"
New Laziz Chicken Briyani,Biryani,3.2,₹300 for two,3.9,"Shahganj, Agra","Innovative Dishes, Fresh Ingredients, Well-priced Options"
Kings,"Burger, Sandwich, Rolls",3.9,₹200 for two,3.9,"Kamla Nagar, Agra","Quantity, Vintage Decor, Inviting Decor"
Drunken Monkey,"Beverages, Juices, Shake, Coffee, Healthy Food, Drinks Only",3.6,₹450 for two,2.5,"Tajganj, Agra","Sophisticated, Cozy Ambiance, Breakfast"
Baba Bakers,"Bakery, Pizza, Burger, Sandwich, Street Food",3.5,₹300 for two,8.9,"Sikandra, Agra","Great Service, Sustainable Practices, Well-priced Options"
Distil - The Lounge Bar,"Chinese, North Indian, Beverages",3.9,"₹1,600 for two",2.6,"Civil Lines, Agra","Friendly Staff, Great for Dates, Memorable Experience"
New Gopal Dhaba,"North Indian, Chinese",3.7,₹300 for two,9.7,"Gopal Pura, Agra","Authentic Flavors, Extensive Mocktail Menu, Cozy Ambiance"
Tandoori Flames,"Rolls, North Indian, Momos, Pasta, Sandwich, Fast Food, Chinese",3.9,₹400 for two,4.7,"Tajganj, Agra","Customizable Dishes, Young Crowd, Brewed Beer"
AJ's Cafe & Bakery,"Bakery, Desserts, Fast Food, Pizza, Beverages",3.2,₹500 for two,2.4,"Agra Cantt, Agra","Creative Cuisine, Weekend Brunch, Variety of Beer"
Laxman Fast Food,Fast Food,3.5,₹200 for two,2.8,"Civil Lines, Agra","Flavorful Creations, Consistent Quality, Sophisticated"
20-20 Fast Food,"South Indian, Fast Food, Momos",3.9,₹150 for two,5.1,"Dayal Bagh, Agra","Ambiance, Inviting Decor, Exquisite Taste"
Shri Kanha Foods,North Indian,3.5,₹300 for two,3.5,"Agra Cantt, Agra","Vintage Decor, Clean Environment, Good Music"
Jux Pux,"Fast Food, Shake, Waffle, Beverages",3.1,₹300 for two,2.7,"Civil Lines, Agra","Cafe, Innovative Dishes, Staff"
Xhale,"Chinese, Italian, Fast Food, Rolls, Beverages",3.9,₹500 for two,2.2,"Agra Cantt, Agra","Delicious Food, Extensive Mocktail Menu, Courteous Staff"
B&B Restro,"North Indian, South Indian, Fast Food, Chinese, Beverages, Street Food, Pizza, Pasta",3.8,₹500 for two,4.4,"Tajganj, Agra","Creative Cuisine, Cozy Ambiance, Exquisite Taste"
Mercury Cafe,"Cafe, Sandwich, Fast Food, Burger, Pizza, Desserts, Beverages",3.6,₹800 for two,4.4,"Tajganj, Agra","Live Sports Screening, Staff, Innovative Dishes"
Mothers Milkshakes,"Beverages, Fast Food, Desserts",3.9,₹300 for two,4.4,"Civil Lines, Agra","Brewed Beer, Perfect Place, Ambience"
The Greens Restaurant & Herbal Cafe,"North Indian, South Indian, Chinese, Continental",3.6,₹800 for two,1.5,"Rakabganj, Agra","Comfortable Seating, Flavorful Creations, Impeccable Presentation"
Street 36,"North Indian, Beverages",3.6,₹150 for two,2.7,"Khandari, Agra","Creative Cuisine, Efficient Service, Fresh Ingredients"
Brij Thali,North Indian,3.6,₹200 for two,1.6,"Civil Lines, Agra","Attentive Service, Customizable Dishes, Impeccable Presentation"
Agra Fast Food And Restaurant,"North Indian, South Indian",2.6,₹400 for two,3.3,"Tajganj, Agra","Clean Environment, Variety of Beer, Impeccable Presentation"
Jawahar Hotel,North Indian,3.6,₹400 for two,4.2,"Dayal Bagh, Agra","Fresh Ingredients, Brewed Beer, Delicious Food"
Shri Mangalam Dhabha,North Indian,3.6,₹500 for two,6.6,"Sikandra, Agra","Good Music, Sustainable Practices, Authentic Flavors"
Hunger On Wheel Cafe,"Fast Food, Chinese, Desserts",3.8,₹300 for two,4.1,"Civil Lines, Agra","Attentive Service, Weekend Brunch, Good Bartenders"
Yo Yo Foods,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, South Indian, Shake",3.7,₹400 for two,6.4,"Shahganj, Agra","Brewed Beer, Well-priced Options, Customizable Dishes"
Mr Dosa,"South Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages",3.9,₹500 for two,2.4,"Agra Cantt, Agra","Sustainable Practices, Authentic Flavors, Sophisticated"
Kathi Express,"Rolls, Shawarma, Kebab, Shake",3.8,₹200 for two,1.4,"Mantola, Agra","Extensive Mocktail Menu, Sustainable Practices, Cozy Ambiance"
Vada Pav King,"Maharashtrian, Street Food, Burger, Sandwich, Rolls, Fast Food, Beverages",3.5,₹350 for two,4.3,"Tajganj, Agra","Ambience, Hospitality, Innovative Dishes"
Paatra - Jaypee Palace Hotel,"North Indian, Mughlai",4.3,"₹3,000 for two",4.4,"Jaypee Palace Hotel, Tajganj, Agra","Breakfast, Live Sports Screening, Authentic Flavors"
Chai Janeman,"Shake, Beverages, Sandwich, Burger, Street Food, Fast Food",3.0,₹250 for two,7.8,"Sikandra, Agra","Delicious Food, Satisfying Portions, Flavorful Creations"
Meals Cafe,"Fast Food, Pizza, Wraps, Sandwich",4.3,₹500 for two,3.5,"Civil Lines, Agra","Clean Environment, Main Course, Efficient Service"
Barbeque Pizza Junction,"BBQ, Pizza, Burger, Wraps, Sandwich, Momos, Shake, Beverages",3.6,₹300 for two,2.2,"Civil Lines, Agra","Customizable Dishes, Weekend Brunch, Delicious Food"
Momos Adda,"Street Food, Fast Food, Burger, Momos, Pizza",3.4,₹200 for two,6.3,"Sikandra, Agra","Seasonal Menu, Great for Dates, Hospitable Staff"
Spice Kitchen,"North Indian, Chinese",3.8,₹800 for two,8.4,"Sikandra, Agra","Consistent Quality, Satisfying Portions, Extensive Mocktail Menu"
The Chamber - Kitchen & Taproom,"North Indian, Chinese, Italian, Fast Food, Beverages, Desserts",4.0,"₹1,200 for two",4.4,"Tajganj, Agra","Sustainable Practices, Cozy Ambiance, Innovative Dishes"
European Bakery,"Bakery, Desserts",3.7,₹300 for two,2.9,"Civil Lines, Agra","Good Bartenders, Great for Dates, Extensive Mocktail Menu"
Brijwasi Petha,Mithai,3.5,₹200 for two,1.6,"Rakabganj, Agra","Creative Cuisine, Good Music, Inviting Decor"
Prince Of Spice,"North Indian, Mughlai, Chinese",3.3,₹750 for two,4.3,"Tajganj, Agra","Perfect Place, Friendly Staff, Attentive Service"
Desi Masala,"Chinese, Fast Food",3.9,₹350 for two,1.2,"Rakabganj, Agra","Flavorful Creations, Vintage Decor, Cozy Ambiance"
Agra Burger Club,"Burger, Fast Food, Sandwich, Pasta, Chinese, Beverages",3.3,₹400 for two,5.0,"Shahganj, Agra","Weekend Brunch, Variety of Beer, Exquisite Taste"
Shri Mohan Hotel,North Indian,3.1,₹300 for two,0.355,"Rakabganj, Agra","Innovative Dishes, Great Service, Clean Environment"
Big Crust,"Pizza, Pasta, Shake, Desserts, Fast Food",3.0,₹500 for two,3.7,"Khandari, Agra","Friendly Staff, Main Course, Hospitable Staff"
Heart Of Taj Cafe,"North Indian, Mughlai, Chinese, Fast Food, Biryani, Street Food",2.9,₹400 for two,3.8,"Tajganj, Agra","Delicious Food, Brewed Beer, Local Sourcing"
Amrut Restaurant,Chinese,3.1,₹300 for two,4.1,"Dayal Bagh, Agra","Inviting Decor, Weekend Brunch, Delicious Food"
Hotel Taj Plaza,"North Indian, Fast Food, Beverages, Chinese",3.6,₹500 for two,4.6,"Tajganj, Agra","Staff, Impeccable Presentation, Good Bartenders"
Pizza House Family Restaurant,"Pizza, Burger, Sandwich, Fast Food, Chinese, Shake, Beverages",3.4,₹350 for two,5.8,"Shahganj, Agra","Inviting Decor, Efficient Service, Cafe"
Karan Restaurant,"Chinese, North Indian, Fast Food, Continental, Beverages, Desserts",3.9,"₹1,200 for two",2.5,"Hotel Ganga Ratan, Tajganj, Agra","Quantity, Great Service, Attentive Service"
Shivam Restaurant,"North Indian, Fast Food",3.8,₹500 for two,3.2,"Tajganj, Agra","Peaceful Ambience, Inviting Decor, Diverse Menu"
Tandoori Night,"North Indian, Fast Food, Chinese, South Indian, Rolls",3.8,₹600 for two,6.4,"Sikandra, Agra","Sustainable Practices, Comfortable Seating, Good Music"
Freaky Burger,"Burger, Fast Food, Beverages, Pizza, Sandwich",3.4,₹450 for two,5.8,"Tajganj, Agra","Sustainable Practices, Trendy Setting, Inviting Decor"
Best Cake Bakers,"Bakery, Fast Food, Desserts, Shake",3.5,₹400 for two,5.0,"Tajganj, Agra","Great Service, Well-priced Options, Exquisite Taste"
Wok To Fork,"Fast Food, Beverages",3.8,₹200 for two,2.4,"Civil Lines, Agra","Ambience, Authentic Flavors, Memorable Experience"
Arabian Bites,"Burger, Fast Food",3.5,₹250 for two,4.8,"Tajganj, Agra","Delicious Food, Impeccable Presentation, Young Crowd"
YED Foods,"North Indian, Fast Food",3.9,₹200 for two,3.2,"Civil Lines, Agra","Perfect Place, Flavorful Creations, Local Sourcing"
Banarasi Kitchen,"Street Food, Chinese, North Indian",3.9,₹500 for two,8.3,"Sikandra, Agra","Cozy Ambiance, Exquisite Taste, Memorable Experience"
Chanchal Hotel,North Indian,2.9,₹300 for two,3.5,"Agra Cantt, Agra","Variety of Beer, Efficient Service, Weekend Brunch"
The Momo Heaven,"Fast Food, Momos, Beverages",3.5,₹250 for two,1.2,"Civil Lines, Agra","Hospitality, Customizable Dishes, Diverse Menu"
The Global Savour,"North Indian, Chinese, Fast Food, Street Food",4.0,₹800 for two,3.8,"Tajganj, Agra","Vintage Decor, Authentic Flavors, Ambience"
Kitchen On Fire,"North Indian, Mughlai, Fast Food",3.3,₹500 for two,2.5,"Civil Lines, Agra","Young Crowd, Friendly Staff, Weekend Brunch"
Shri Anand  Sakahari Bhojan,North Indian,3.1,₹350 for two,2.7,"Civil Lines, Agra","Trendy Setting, Hospitality, Main Course"
Tarachand Dhaba,North Indian,3.8,₹250 for two,1.1,"Civil Lines, Agra","Breakfast, Vintage Decor, Inviting Decor"
Chicken Point,"North Indian, Biryani, Rolls, Chinese",3.7,₹650 for two,6.3,"Trans Yamuna, Agra","Memorable Experience, Diverse Menu, Customizable Dishes"
UK Restaurants And Kitchens,"North Indian, Chinese, Biryani, Kebab",3.6,₹500 for two,4.5,"Mangal City Mall, Vijay Nagar, Indore","Sustainable Practices, Inviting Decor, Cozy Ambiance"
Dopamine,"Asian, North Indian, Continental, Italian, Bar Food, Pizza, Sushi, Salad",4.5,"₹1,500 for two",5.3,"Vijay Nagar, Indore","Inviting Decor, Breakfast, Trendy Setting"
Epicentre - The Park,"Continental, Salad, Chinese, Asian, Italian, North Indian, Desserts, Beverages",4.2,"₹3,500 for two",8.0,"The Park, Indore","Cafe, Main Course, Clean Environment"
House Of Malts,"North Indian, Chinese, Continental, Italian, Oriental, Bar Food, Beverages",3.8,"₹1,000 for two",5.6,"Vijay Nagar, Indore","Local Sourcing, Memorable Experience, Comfortable Seating"
The Piano Project,"North Indian, Mughlai, Kebab, Biryani, Beverages",4.5,"₹2,000 for two",4.9,"Vijay Nagar, Indore","Innovative Dishes, Ambience, Satisfying Portions"
Aqua - The Park,"North Indian, Asian, Continental, Oriental",4.5,"₹2,200 for two",8.0,"The Park, Indore","Main Course, Local Sourcing, Sophisticated"
Kabelo Veg Barbecues,"North Indian, Salad, Desserts, Beverages",4.3,"₹1,200 for two",4.5,"Vijay Nagar, Indore","Peaceful Ambience, Local Sourcing, Delicious Food"
Flame By Fire & Smoke,"North Indian, Chinese, Seafood, Biryani, Oriental, Desserts",4.4,"₹1,000 for two",4.2,"Vijay Nagar, Indore","Variety of Beer, Sustainable Practices, Breakfast"
Cream Centre,"North Indian, Chinese, Italian, Mexican, Fast Food, Ice Cream, Shake, Beverages",4.2,"₹1,400 for two",4.6,"Vijay Nagar, Indore","Cozy Ambiance, Comfortable Seating, Great for Dates"
Cravings - Sayaji Hotel,"North Indian, Chinese, Italian, Beverages",4.5,"₹1,800 for two",4.4,"Sayaji Hotel, Vijay Nagar, Indore","Hospitable Staff, Young Crowd, Great for Dates"
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.3,"₹1,500 for two",2.3,"South Tukoganj, Indore","Well-priced Options, Cafe, Inviting Decor"
The Creative Kitchen - Radisson Blu Hotel,"North Indian, Continental, Chinese, Asian, Desserts",4.0,"₹2,500 for two",5.5,"Radisson Blu Hotel, Vijay Nagar, Indore","Fresh Ingredients, Creative Cuisine, Well-priced Options"
Fire & Smoke,"North Indian, Mughlai, Continental",4.9,"₹2,200 for two",8.9,"By Pass Road (North), Indore","Breakfast, Efficient Service, Consistent Quality"
Revolution Indore,"North Indian, Continental, Fast Food, Pizza, Burger, Sandwich, Italian, Beverages",4.1,"₹2,000 for two",4.9,"Vijay Nagar, Indore","Memorable Experience, Authentic Flavors, Vintage Decor"
The Cube - Hotel Effotel,"North Indian, Mughlai, Asian, Biryani, Desserts",4.9,"₹1,200 for two",5.5,"Hotel Effotel, Vijay Nagar, Indore","Satisfying Portions, Courteous Staff, Main Course"
Chopstick City - Sayaji Hotel,"Chinese, Asian, Beverages, Desserts",4.7,"₹1,800 for two",4.4,"Sayaji Hotel, Vijay Nagar, Indore","Innovative Dishes, Ambiance, Sophisticated"
Municipal,"North Indian, Continental",4.2,"₹1,500 for two",5.1,"Mangal City Mall, Vijay Nagar, Indore","Good Bartenders, Ambience, Cozy Ambiance"
Mama Loca,"Pizza, Pasta, Italian, Continental, Shawarma, Middle Eastern, Lebanese, Greek",4.2,"₹1,000 for two",2.8,"New Palasia, Indore","Local Sourcing, Peaceful Ambience, Courteous Staff"
Indore Kitchen - Indore Marriott Hotel,"North Indian, Asian",4.2,"₹2,000 for two",4.2,"Indore Marriott Hotel, Vijay Nagar, Indore","Cozy Ambiance, Ambiance, Memorable Experience"
The Ashoka Hotel And Multi-Cuisine Restaurant,"North Indian, Chinese, Continental, Fast Food, Street Food, Salad, Shake, Beverages",4.2,₹700 for two,4.5,"Vijay Nagar, Indore","Seasonal Menu, Warm Atmosphere, Inviting Decor"
Punjab Grill,"North Indian, Mughlai, Kebab, Biryani, Desserts",4.5,"₹2,500 for two",8.4,"By Pass Road (North), Indore","Well-priced Options, Diverse Menu, Efficient Service"
